date,region,item,quantity,unit_price
2026-08-01,North America,Pro Controller,4,69.99
2026-08-01,Europe,Gaming Mouse,12,49.99
2026-08-01,Asia,Mechanical Keyboard,8,89.99
2026-08-01,North America,HD Webcam,3,59.99
2026-08-01,Europe,Wireless Headset,6,99.99
2026-08-02,Asia,Pro Controller,10,69.99
2026-08-02,North America,Gaming Mouse,15,49.99
2026-08-02,Europe,Mechanical Keyboard,5,89.99
2026-08-02,Asia,HD Webcam,7,59.99
2026-08-02,North America,Wireless Headset,9,99.99
2026-08-03,Europe,Pro Controller,2,69.99
2026-08-03,Asia,Gaming Mouse,11,49.99
2026-08-03,North America,Mechanical Keyboard,6,89.99
2026-08-03,Europe,HD Webcam,8,59.99
2026-08-03,Asia,Wireless Headset,4,99.99
2026-08-04,North America,Pro Controller,7,69.99
2026-08-04,Europe,Gaming Mouse,9,49.99
2026-08-04,Asia,Mechanical Keyboard,14,89.99
2026-08-04,North America,HD Webcam,2,59.99
2026-08-04,Europe,Wireless Headset,11,99.99
2026-08-05,Asia,Pro Controller,5,69.99
2026-08-05,North America,Gaming Mouse,8,49.99
2026-08-05,Europe,Mechanical Keyboard,3,89.99
2026-08-05,Asia,HD Webcam,10,59.99
2026-08-05,North America,Wireless Headset,6,99.99
2026-08-06,Europe,Pro Controller,12,69.99
2026-08-06,Asia,Gaming Mouse,7,49.99
2026-08-06,North America,Mechanical Keyboard,9,89.99
2026-08-06,Europe,HD Webcam,5,59.99
2026-08-06,Asia,Wireless Headset,8,99.99
2026-08-07,North America,Pro Controller,3,69.99
2026-08-07,Europe,Gaming Mouse,14,49.99
2026-08-07,Asia,Mechanical Keyboard,2,89.99
2026-08-07,North America,HD Webcam,11,59.99
2026-08-07,Europe,Wireless Headset,5,99.99
2026-08-08,Asia,Pro Controller,9,69.99
2026-08-08,North America,Gaming Mouse,6,49.99
2026-08-08,Europe,Mechanical Keyboard,10,89.99
2026-08-08,Asia,HD Webcam,4,59.99
2026-08-08,North America,Wireless Headset,7,99.99
2026-08-09,Europe,Pro Controller,8,69.99
2026-08-09,Asia,Gaming Mouse,13,49.99
2026-08-09,North America,Mechanical Keyboard,4,89.99
2026-08-09,Europe,HD Webcam,6,59.99
2026-08-09,Asia,Wireless Headset,3,99.99
2026-08-10,North America,Pro Controller,11,69.99
2026-08-10,Europe,Gaming Mouse,5,49.99
2026-08-10,Asia,Mechanical Keyboard,7,89.99
2026-08-10,North America,HD Webcam,9,59.99
2026-08-10,Europe,Wireless Headset,2,99.99
2026-08-11,Asia,Pro Controller,6,69.99
2026-08-11,North America,Gaming Mouse,10,49.99
2026-08-11,Europe,Mechanical Keyboard,12,89.99
2026-08-11,Asia,HD Webcam,1,59.99
2026-08-11,North America,Wireless Headset,8,99.99
2026-08-12,Europe,Pro Controller,4,69.99
2026-08-12,Asia,Gaming Mouse,16,49.99
2026-08-12,North America,Mechanical Keyboard,5,89.99
2026-08-12,Europe,HD Webcam,7,59.99
2026-08-12,Asia,Wireless Headset,10,99.99
2026-08-13,North America,Pro Controller,15,69.99
2026-08-13,Europe,Gaming Mouse,3,49.99
2026-08-13,Asia,Mechanical Keyboard,11,89.99
2026-08-13,North America,HD Webcam,8,59.99
2026-08-13,Europe,Wireless Headset,4,99.99
2026-08-14,Asia,Pro Controller,2,69.99
2026-08-14,North America,Gaming Mouse,12,49.99
2026-08-14,Europe,Mechanical Keyboard,6,89.99
2026-08-14,Asia,HD Webcam,13,59.99
2026-08-14,North America,Wireless Headset,5,99.99
2026-08-15,Europe,Pro Controller,7,69.99
2026-08-15,Asia,Gaming Mouse,8,49.99
2026-08-15,North America,Mechanical Keyboard,13,89.99
2026-08-15,Europe,HD Webcam,3,59.99
2026-08-15,Asia,Wireless Headset,9,99.99
2026-08-16,North America,Pro Controller,10,69.99
2026-08-16,Europe,Gaming Mouse,11,49.99
2026-08-16,Asia,Mechanical Keyboard,4,89.99
2026-08-16,North America,HD Webcam,6,59.99
2026-08-16,Europe,Wireless Headset,12,99.99
