date,category,item,quantity,price_per_unit
2026-08-01,Electronics,Wireless Mouse,5,25.00
2026-08-01,Groceries,Organic Apples,12,2.50
2026-08-01,Clothing,Cotton T-Shirt,3,15.00
2026-08-01,Electronics,Mechanical Keyboard,2,85.00
2026-08-01,Groceries,Almond Milk,6,4.00
2026-08-01,Clothing,Denim Jeans,1,45.00
2026-08-02,Electronics,USB-C Cable,10,12.00
2026-08-02,Groceries,Whole Wheat Bread,8,3.20
2026-08-02,Clothing,Running Shoes,2,75.00
2026-08-02,Electronics,Bluetooth Speaker,4,50.00
2026-08-02,Groceries,Cheddar Cheese,5,5.50
2026-08-02,Clothing,Leather Belt,3,25.00
2026-08-03,Electronics,Wireless Mouse,8,25.00
2026-08-03,Groceries,Organic Apples,20,2.50
2026-08-03,Clothing,Cotton T-Shirt,6,15.00
2026-08-03,Electronics,Gaming Headset,3,60.00
2026-08-03,Groceries,Greek Yogurt,10,1.80
2026-08-03,Clothing,Winter Jacket,1,120.00
2026-08-04,Electronics,USB-C Cable,15,12.00
2026-08-04,Groceries,Almond Milk,4,4.00
2026-08-04,Clothing,Denim Jeans,3,45.00
2026-08-04,Electronics,4K Monitor,1,300.00
2026-08-04,Groceries,Whole Wheat Bread,12,3.20
2026-08-04,Clothing,Running Shoes,1,75.00
2026-08-05,Electronics,Mechanical Keyboard,4,85.00
2026-08-05,Groceries,Organic Apples,15,2.50
2026-08-05,Clothing,Cotton T-Shirt,10,15.00
2026-08-05,Electronics,Wireless Mouse,12,25.00
2026-08-05,Groceries,Cheddar Cheese,8,5.50
2026-08-05,Clothing,Leather Belt,5,25.00
2026-08-06,Electronics,Bluetooth Speaker,2,50.00
2026-08-06,Groceries,Greek Yogurt,14,1.80
2026-08-06,Clothing,Denim Jeans,2,45.00
2026-08-06,Electronics,USB-C Cable,8,12.00
2026-08-06,Groceries,Almond Milk,9,4.00
2026-08-06,Clothing,Winter Jacket,2,120.00
2026-08-07,Electronics,Gaming Headset,5,60.00
2026-08-07,Groceries,Organic Apples,25,2.50
2026-08-07,Clothing,Cotton T-Shirt,4,15.00
2026-08-07,Electronics,4K Monitor,2,300.00
2026-08-07,Groceries,Whole Wheat Bread,6,3.20
2026-08-07,Clothing,Running Shoes,4,75.00
2026-08-08,Electronics,Wireless Mouse,7,25.00
2026-08-08,Groceries,Cheddar Cheese,10,5.50
2026-08-08,Clothing,Leather Belt,2,25.00
2026-08-08,Electronics,Mechanical Keyboard,1,85.00
2026-08-08,Groceries,Greek Yogurt,8,1.80
2026-08-08,Clothing,Denim Jeans,4,45.00
2026-08-09,Electronics,USB-C Cable,12,12.00
2026-08-09,Groceries,Almond Milk,7,4.00
2026-08-09,Clothing,Cotton T-Shirt,8,15.00
2026-08-09,Electronics,Bluetooth Speaker,3,50.00
2026-08-09,Groceries,Organic Apples,18,2.50
2026-08-09,Clothing,Winter Jacket,1,120.00
2026-08-10,Electronics,Gaming Headset,2,60.00
2026-08-10,Groceries,Whole Wheat Bread,15,3.20
2026-08-10,Clothing,Running Shoes,3,75.00
2026-08-10,Electronics,Wireless Mouse,9,25.00
2026-08-10,Groceries,Cheddar Cheese,4,5.50
2026-08-10,Clothing,Leather Belt,6,25.00
2026-08-11,Electronics,Mechanical Keyboard,3,85.00
2026-08-11,Groceries,Greek Yogurt,12,1.80
2026-08-11,Clothing,Denim Jeans,2,45.00
2026-08-11,Electronics,4K Monitor,1,300.00
2026-08-11,Groceries,Almond Milk,5,4.00
2026-08-11,Clothing,Cotton T-Shirt,12,15.00
2026-08-12,Electronics,USB-C Cable,20,12.00
2026-08-12,Groceries,Organic Apples,30,2.50
2026-08-12,Clothing,Running Shoes,2,75.00
2026-08-12,Electronics,Bluetooth Speaker,5,50.00
2026-08-12,Groceries,Whole Wheat Bread,9,3.20
2026-08-12,Clothing,Winter Jacket,3,120.00
2026-08-13,Electronics,Wireless Mouse,11,25.00
2026-08-13,Groceries,Cheddar Cheese,7,5.50
2026-08-13,Clothing,Leather Belt,1,25.00
2026-08-13,Electronics,Gaming Headset,4,60.00
2026-08-13,Groceries,Greek Yogurt,16,1.80
2026-08-13,Clothing,Denim Jeans,5,45.00
2026-08-14,Electronics,USB-C Cable,14,12.00
2026-08-14,Groceries,Almond Milk,8,4.00
2026-08-14,Clothing,Cotton T-Shirt,7,15.00
2026-08-14,Electronics,Mechanical Keyboard,2,85.00
2026-08-14,Groceries,Organic Apples,22,2.50
2026-08-14,Clothing,Running Shoes,1,75.00
2026-08-15,Electronics,4K Monitor,3,300.00
2026-08-15,Groceries,Whole Wheat Bread,11,3.20
2026-08-15,Clothing,Leather Belt,4,25.00
2026-08-15,Electronics,Bluetooth Speaker,1,50.00
2026-08-15,Groceries,Cheddar Cheese,6,5.50
2026-08-15,Clothing,Winter Jacket,2,120.00
2026-08-16,Electronics,Wireless Mouse,6,25.00
2026-08-16,Groceries,Greek Yogurt,20,1.80
2026-08-16,Clothing,Denim Jeans,3,45.00
2026-08-16,Electronics,Gaming Headset,6,60.00
2026-08-16,Groceries,Almond Milk,10,4.00
2026-08-16,Clothing,Cotton T-Shirt,9,15.00
2026-08-16,Electronics,USB-C Cable,11,12.00
2026-08-16,Groceries,Organic Apples,14,2.50
2026-08-16,Clothing,Running Shoes,5,75.00
2026-08-01,Electronics,USB-C Cable,6,12.00
2026-08-01,Groceries,Greek Yogurt,8,1.80
2026-08-01,Clothing,Winter Jacket,1,120.00
2026-08-02,Electronics,4K Monitor,1,300.00
2026-08-02,Groceries,Almond Milk,5,4.00
2026-08-02,Clothing,Cotton T-Shirt,11,15.00
2026-08-03,Electronics,Mechanical Keyboard,3,85.00
2026-08-03,Groceries,Cheddar Cheese,9,5.50
2026-08-03,Clothing,Leather Belt,2,25.00
2026-08-04,Electronics,Bluetooth Speaker,4,50.00
2026-08-04,Groceries,Organic Apples,16,2.50
2026-08-04,Clothing,Running Shoes,2,75.00
2026-08-05,Electronics,Gaming Headset,1,60.00
2026-08-05,Groceries,Whole Wheat Bread,14,3.20
2026-08-05,Clothing,Winter Jacket,1,120.00
2026-08-06,Electronics,Wireless Mouse,10,25.00
2026-08-06,Groceries,Cheddar Cheese,3,5.50
2026-08-06,Clothing,Leather Belt,5,25.00
2026-08-07,Electronics,USB-C Cable,18,12.00
2026-08-07,Groceries,Greek Yogurt,11,1.80
2026-08-07,Clothing,Denim Jeans,4,45.00
2026-08-08,Electronics,4K Monitor,2,300.00
2026-08-08,Groceries,Almond Milk,6,4.00
2026-08-08,Clothing,Cotton T-Shirt,5,15.00
2026-08-09,Electronics,Mechanical Keyboard,2,85.00
2026-08-09,Groceries,Whole Wheat Bread,10,3.20
2026-08-09,Clothing,Running Shoes,3,75.00
2026-08-10,Electronics,Bluetooth Speaker,5,50.00
2026-08-10,Groceries,Organic Apples,21,2.50
2026-08-10,Clothing,Winter Jacket,2,120.00
2026-08-11,Electronics,Gaming Headset,3,60.00
2026-08-11,Groceries,Cheddar Cheese,6,5.50
2026-08-11,Clothing,Leather Belt,3,25.00
2026-08-12,Electronics,Wireless Mouse,8,25.00
2026-08-12,Groceries,Greek Yogurt,15,1.80
2026-08-12,Clothing,Denim Jeans,1,45.00
